2025-04-28 19:00:07,118 INFO    MainThread:4205 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_setup.py:_flush():68] Configure stats pid to 4205
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_setup.py:_flush():68] Loading settings from /home/ra65puy/.config/wandb/settings
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_setup.py:_flush():68] Loading settings from /home/ra65puy/Documents/Radar-Consulting/wandb/settings
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/ra65puy/Documents/Radar-Consulting/wandb/run-20250428_190006-(124,124)_7_v5/logs/debug.log
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/ra65puy/Documents/Radar-Consulting/wandb/run-20250428_190006-(124,124)_7_v5/logs/debug-internal.log
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_init.py:init():852] calling init triggers
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'seq_len_in': 10, 'train_frac': 0.6, 'batch_size': 1, 'lr': 0.0002, 'hidden_dims': [124, 124], 'kernel_size': 7, 'epochs': 50, 'device': 'cuda', '_wandb': {}}
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_init.py:init():893] starting backend
2025-04-28 19:00:07,119 INFO    MainThread:4205 [wandb_init.py:init():897] sending inform_init request
2025-04-28 19:00:07,151 INFO    MainThread:4205 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-28 19:00:07,151 INFO    MainThread:4205 [wandb_init.py:init():907] backend started and connected
2025-04-28 19:00:07,153 INFO    MainThread:4205 [wandb_init.py:init():1002] updated telemetry
2025-04-28 19:00:07,373 INFO    MainThread:4205 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
